SYMBOL,DATE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
IDEA,2026-03-06,EQ,10.3,10.38,10.01,10.06,10.06,10.22,450840141,4613589897.78,128701,INE669E01016
IDFCFIRSTB,2026-03-06,EQ,70.4,71.27,69.77,69.98,70.0,70.4,23163809,1633424924.66,86092,INE092T01019
IEX,2026-03-06,EQ,121.01,123.5,121.01,121.76,121.2,121.63,4351385,531598672.58,22780,INE022Q01020
IFCI,2026-03-06,EQ,54.0,55.6,53.83,54.59,54.22,54.52,9384718,515380013.27,30032,INE039A01010
IGL,2026-03-06,EQ,159.0,159.2,156.08,157.27,157.65,160.13,2074749,326932273.19,33757,INE203G01027
IIFL,2026-03-06,EQ,490.1,497.45,482.7,485.1,485.0,491.4,965741,472677986.0,36388,INE530B01024
INDHOTEL,2026-03-06,EQ,624.65,629.75,618.8,623.85,624.0,629.7,3777555,2356133309.1,64746,INE053A01029
INDIACEM,2026-03-06,EQ,390.0,395.0,380.0,382.0,383.2,393.5,147236,57006509.65,10779,INE383A01012
INDIAMART,2026-03-06,EQ,2081.1,2126.5,2071.0,2120.6,2126.5,2076.4,504063,1052797237.1,33549,INE933S01016
INDIANB,2026-03-06,EQ,948.05,954.55,936.65,939.4,944.0,951.75,1071588,1013570105.3,42259,INE562A01011
INDIGO,2026-03-06,EQ,4424.7,4465.0,4375.5,4404.1,4410.0,4512.8,1640372,7251193579.0,101535,INE646L01027
INDUSINDBK,2026-03-06,EQ,935.0,942.9,912.05,917.85,916.0,937.2,1153433,1074591799.2,33188,INE095A01012
INDUSTOWER,2026-03-06,EQ,450.75,457.65,449.0,452.05,450.05,451.4,2140959,969950483.3,34707,INE121J01017
INFIBEAM,2026-02-02,EQ,16.65,17.03,16.07,16.9,16.84,16.62,12536736,208246532.31,22791,INE483S01020
INFY,2026-03-06,EQ,1303.0,1327.2,1303.0,1308.4,1311.0,1305.8,8724291,11462328914.0,178932,INE009A01021
INOXWIND,2026-03-06,EQ,85.95,88.09,83.58,83.86,83.87,86.32,8535935,730940789.94,31678,INE066P01011
INTELLECT,2026-03-06,EQ,658.35,692.25,658.05,681.0,680.0,658.35,521440,354822500.95,26754,INE306R01017
IOB,2026-03-06,EQ,34.5,34.54,34.0,34.08,34.04,34.54,5944597,203841871.01,16435,INE565A01014
IOC,2026-03-06,EQ,172.06,172.94,168.05,168.68,168.1,171.54,20979104,3567240859.47,167158,INE242A01010
IPCALAB,2026-03-06,EQ,1501.4,1520.5,1481.0,1494.2,1501.9,1500.9,45541,68468449.8,7260,INE571A01038
IRB,2026-03-06,EQ,40.05,41.0,40.0,40.78,40.99,40.36,5354011,217456155.58,24848,INE821I01022
IRCTC,2026-03-06,EQ,561.0,569.45,551.0,552.8,553.3,561.95,1843513,1031089911.15,50000,INE335Y01020
IREDA,2026-03-06,EQ,116.5,120.35,115.08,117.28,117.4,115.65,12595130,1490426379.27,51072,INE202E01016
IRFC,2026-03-06,EQ,99.31,103.1,98.76,99.47,99.4,98.85,35489993,3583202340.53,113874,INE053F01010
ITC,2026-03-06,EQ,310.05,312.3,309.2,309.7,309.95,311.5,21288269,6607851781.95,212819,INE154A01025
JINDALSTEL,2026-03-06,EQ,1184.0,1195.8,1176.6,1180.4,1178.1,1184.0,797237,944936234.3,39858,INE749A01030
JIOFIN,2026-03-06,EQ,242.2,243.45,238.9,239.35,239.7,243.1,12566465,3025400048.8,96498,INE758E01017
JISLJALEQS,2026-03-06,EQ,34.2,35.35,33.98,34.71,34.52,34.12,4386926,152326057.97,7745,INE175A01038
JKCEMENT,2026-03-06,EQ,5502.0,5557.5,5406.0,5426.5,5428.5,5514.5,38508,210500816.5,10269,INE823G01014
JSL,2026-03-06,EQ,767.95,768.85,750.0,752.25,752.0,768.95,742434,560585142.55,20251,INE220G01021
JSWENERGY,2026-03-06,EQ,476.9,499.5,476.9,488.2,489.6,479.5,4021658,1983284191.1,59350,INE121E01018
JSWSTEEL,2026-03-06,EQ,1240.7,1249.1,1229.2,1233.7,1230.0,1248.1,1140348,1413827872.5,52625,INE019A01038
JUBLFOOD,2026-03-06,EQ,500.0,503.0,490.25,492.0,493.2,500.5,1716661,848546614.05,28782,INE797F01020
JUSTDIAL,2026-03-06,EQ,535.95,548.8,532.0,535.05,536.0,535.65,331913,177742164.9,9136,INE599M01018
KAJARIACER,2026-03-06,EQ,938.4,948.6,927.3,934.65,933.1,940.25,53735,50427208.7,7477,INE217B01036
KALYANKJIL,2026-03-06,EQ,395.95,401.1,394.25,395.55,396.35,399.8,2237896,888684699.65,36374,INE303R01014
KAYNES,2026-03-06,EQ,3798.1,3854.2,3730.0,3746.8,3755.6,3814.5,893754,3385534171.1,47851,INE918Z01012
KEI,2026-03-06,EQ,4930.5,5000.5,4903.0,4921.0,4935.0,4920.5,336511,1666731348.0,32680,INE878B01027
KFINTECH,2026-03-06,EQ,925.0,931.1,904.75,912.75,914.0,927.9,449756,411112572.45,19886,INE138Y01010
KOTAKBANK,2026-03-06,EQ,403.7,406.7,399.0,399.8,401.3,407.3,17512726,7044279376.5,167361,INE237A01036
KPITTECH,2026-03-06,EQ,717.5,742.45,695.4,698.55,698.3,717.5,2876869,2059478505.5,64724,INE04I401011
KSCL,2026-03-06,EQ,732.6,752.7,727.15,750.2,750.05,730.9,147000,109653344.6,9217,INE455I01029
KTKBANK,2026-03-06,EQ,215.0,224.03,214.48,217.8,216.89,213.59,10374317,2286422619.93,70543,INE614B01018
LALPATHLAB,2026-03-06,EQ,1338.9,1366.9,1332.5,1360.0,1354.0,1339.2,272779,369892696.1,39991,INE600L01024
LAURUSLABS,2026-03-06,EQ,1045.0,1055.0,1022.4,1026.2,1028.0,1045.9,810949,839827860.2,33596,INE947Q01028
LICHSGFIN,2026-03-06,EQ,520.0,525.95,510.6,511.8,512.0,521.4,1012776,523694305.2,22221,INE115A01026
LICI,2026-03-06,EQ,831.0,834.8,820.4,822.3,821.2,832.95,717210,593436236.1,18204,INE0J1Y01017
LODHA,2026-03-06,EQ,916.25,919.7,885.95,889.25,892.25,916.25,1595028,1434977357.3,53764,INE670K01029
LT,2026-03-06,EQ,4015.0,4015.0,3941.0,3949.8,3949.0,4038.7,2379314,9424723564.9,158659,INE018A01030
LTF,2026-03-06,EQ,274.9,276.95,271.25,271.9,271.8,275.5,2656845,729133615.85,38026,INE498L01015
LTIM,2026-02-26,EQ,4580.0,4655.0,4486.5,4504.0,4510.0,4559.0,270646,1233703119.5,27024,INE214T01019
LTM,2026-03-06,EQ,4270.0,4388.3,4262.0,4292.0,4298.0,4306.4,228424,986274872.2,26914,INE214T01019
LTTS,2026-03-06,EQ,3306.0,3324.8,3162.1,3187.4,3175.0,3297.5,103443,334844720.8,17296,INE010V01017
LUPIN,2026-03-06,EQ,2341.0,2369.5,2324.8,2343.8,2330.0,2332.9,1374145,3224677400.1,83023,INE326A01037
M&M,2026-03-06,EQ,3315.0,3367.0,3315.0,3332.5,3333.0,3348.0,2084605,6967595282.0,127319,INE101A01026
M&MFIN,2026-03-06,EQ,363.0,368.4,361.3,363.5,364.2,364.75,1776257,645923797.35,20455,INE774D01024
MANAPPURAM,2026-03-06,EQ,266.65,270.05,262.0,262.75,263.4,267.3,3498921,930506530.5,42085,INE522D01027
MANKIND,2026-03-06,EQ,2231.7,2231.7,2178.1,2187.0,2182.0,2226.4,350723,770209916.0,33240,INE634S01028
MARICO,2026-03-06,EQ,779.8,790.6,776.5,785.25,785.1,778.85,2431135,1910341928.4,69458,INE196A01026
MARUTI,2026-03-06,EQ,14339.0,14466.0,14115.0,14159.0,14139.0,14415.0,390629,5582195243.0,57055,INE585B01010
MAXHEALTH,2026-03-06,EQ,1048.6,1049.5,1030.0,1042.0,1045.0,1058.2,3185920,3311828793.9,61624,INE027H01010
MAZDOCK,2026-03-06,EQ,2383.3,2560.0,2370.1,2471.9,2478.0,2352.5,12648976,31547523156.4,400191,INE249Z01020
MCLEODRUSS,2026-03-06,EQ,38.35,39.26,37.5,38.08,37.5,38.35,420600,16148769.66,2113,INE942G01012
MCX,2026-03-06,EQ,2562.0,2590.7,2522.8,2533.9,2541.0,2553.5,1832576,4673234089.5,74410,INE745G01043
METROPOLIS,2026-03-06,EQ,1781.0,1808.8,1781.0,1790.2,1785.9,1794.0,27727,49788228.5,8554,INE112L01020
MFSL,2026-03-06,EQ,1741.6,1748.5,1693.3,1701.5,1706.9,1748.6,1221346,2086524787.3,61183,INE180A01020
MGL,2026-03-06,EQ,1095.0,1096.5,1041.2,1049.3,1047.0,1096.5,649497,689826834.1,39941,INE002S01010
MOTHERSON,2026-03-06,EQ,126.34,126.7,122.49,122.77,122.97,126.34,10309068,1278997405.01,93245,INE775A01035
MPHASIS,2026-03-06,EQ,2230.0,2286.9,2210.0,2214.8,2224.9,2231.6,287592,643950572.2,23271,INE356A01018
MRF,2026-03-06,EQ,140010.0,142500.0,138250.0,138780.0,138650.0,140215.0,9417,1314066995.0,7308,INE883A01011
MRPL,2026-03-06,EQ,200.99,212.31,196.5,206.55,206.1,196.24,34921630,7205479636.8,182783,INE103A01014
MUTHOOTFIN,2026-03-06,EQ,3303.9,3326.9,3232.0,3238.9,3239.0,3306.4,564590,1846407117.7,49551,INE414G01012
NAM-INDIA,2026-03-06,EQ,860.05,865.45,847.5,860.25,861.0,860.7,556373,477448415.7,25903,INE298J01013
NATIONALUM,2026-03-06,EQ,392.0,402.0,386.75,396.15,396.4,395.95,15765117,6237763527.7,113776,INE139A01034
NAUKRI,2026-03-06,EQ,1010.4,1021.6,978.0,980.1,979.9,1015.3,1548231,1541048187.5,55199,INE663F01032
NAVINFLUOR,2026-03-06,EQ,6550.0,6660.0,6494.0,6572.0,6558.5,6504.5,270785,1783882658.0,43275,INE048G01026
NBCC,2026-03-06,EQ,86.4,88.39,85.41,85.64,85.84,86.85,8972368,780761750.96,44664,INE095N01031
